CODE POSTAL,CITY,CATHEGORY
1928,Ravoire,Cotisation de soutien - Amis du PALP
1950,Sion,Cotisation - Amis du PALP
1752,Villars-sur-Glâne,Pass Electroclette 2024 - prix fêtes
1752,Villars-sur-Glâne,Pass Electroclette 2024 - prix fêtes
1752,Villars-sur-Glâne,Pass Electroclette 2024 - prix fêtes
1752,Villars-sur-Glâne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1202,Geneva,Pass Electroclette 2024 - prix fêtes
1202,Geneva,Pass Electroclette 2024 - prix fêtes
1962,Lausanne,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
1005,Lausanne,Pass Electroclette 2024 - prix fêtes
1005,Lausanne,Pass Electroclette 2024 - prix fêtes
1231,Lausanne,Pass Electroclette 2024 - prix fêtes
1293,Lausanne,Pass Electroclette 2024 - prix fêtes
8700,Zurich,Pass Electroclette 2024 - prix fêtes
8700,Zurich,Pass Electroclette 2024 - prix fêtes
1170,Lausanne,Pass Electroclette 2024 - prix fêtes
1293,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1009,Pully,Pass Electroclette 2024 - prix fêtes
1009,Pully,Pass Electroclette 2024 - prix fêtes
2072,Geneva,Pass Electroclette 2024 - prix fêtes
2072,Geneva,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1936,Lausanne,Pass Electroclette 2024 - prix fêtes
1936,Lausanne,Pass Electroclette 2024 - prix fêtes
3960,Bern,Pass Electroclette 2024 - prix fêtes
3960,Bern,Pass Electroclette 2024 - prix fêtes
3960,Bern,Pass Electroclette 2024 - prix fêtes
1950,Sion,Pass Electroclette 2024 - prix fêtes
1950,Sion,Pass Electroclette 2024 - prix fêtes
1239,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1926,Lausanne,Pass Electroclette 2024 - prix fêtes
1923,Lausanne,Pass Electroclette 2024 - prix fêtes
1092,Lausanne,Pass Electroclette 2024 - prix fêtes
1092,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1003,Lausanne,Pass Electroclette 2024 - prix fêtes
1006,Lausanne,Pass Electroclette 2024 - prix fêtes
1950,Sion,Pass Electroclette 2024 - prix fêtes
1950,Sion,Pass Electroclette 2024 - prix fêtes
2523,Geneva,Pass Electroclette 2024 - prix fêtes
2523,Geneva,Pass Electroclette 2024 - prix fêtes
2000,Neuchâtel,Pass Electroclette 2024 - prix fêtes
2056,Geneva,Pass Electroclette 2024 - prix fêtes
1083 Mézières,Localité internationale,Pass Electroclette 2024 - prix fêtes
29200,Geneva,Pass Electroclette 2024 - prix fêtes
29200,Geneva,Pass Electroclette 2024 - prix fêtes
29200,Geneva,Pass Electroclette 2024 - prix fêtes
2502,Geneva,Pass Electroclette 2024 - prix fêtes
1203,Geneva,Pass Electroclette 2024 - prix fêtes
1208,Geneva,Pass Electroclette 2024 - prix fêtes
1808,Lausanne,Pass Electroclette 2024 - prix fêtes
1092,Lausanne,Pass Electroclette 2024 - prix fêtes
1976,Lausanne,Pass Electroclette 2024 - prix fêtes
74500,St. Gallen,Pass Electroclette 2024 - prix fêtes
74500,St. Gallen,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1205,Geneva,Pass Electroclette 2024 - prix fêtes
1205,Geneva,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
1206,Geneva,Pass Electroclette 2024 - prix fêtes
1245,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1207,Geneva,Pass Electroclette 2024 - prix fêtes
8610,Zurich,Pass Electroclette 2024 - prix fêtes
8610,Zurich,Pass Electroclette 2024 - prix fêtes
1219,Lausanne,Pass Electroclette 2024 - prix fêtes
1219,Lausanne,Pass Electroclette 2024 - prix fêtes
1220,Lausanne,Pass Electroclette 2024 - prix fêtes
1965,Lausanne,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
1965,Lausanne,Pass Electroclette 2024 - prix fêtes
1205,Geneva,Pass Electroclette 2024 - prix fêtes
1205,Geneva,Pass Electroclette 2024 - prix fêtes
2024,Geneva,Pass Electroclette 2024 - prix fêtes
2024,Geneva,Pass Electroclette 2024 - prix fêtes
1950,Sion,Pass Electroclette 2024 - prix fêtes
1963,Lausanne,Pass Electroclette 2024 - prix fêtes
1963,Lausanne,Pass Electroclette 2024 - prix fêtes
1202,Geneva,Pass Electroclette 2024 - prix fêtes
1006,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
2035,Geneva,Pass Electroclette 2024 - prix fêtes
1200,Geneva,Pass Electroclette 2024 - prix fêtes
2025,Geneva,Pass Electroclette 2024 - prix fêtes
1219,Lausanne,Pass Electroclette 2024 - prix fêtes
1213,Lausanne,Pass Electroclette 2024 - prix fêtes
1225,Lausanne,Pass Electroclette 2024 - prix fêtes
1936,Lausanne,Pass Electroclette 2024 - prix fêtes
1070,Lausanne,Pass Electroclette 2024 - prix fêtes
1844,Lausanne,Pass Electroclette 2024 - prix fêtes
1844,Lausanne,Pass Electroclette 2024 - prix fêtes
1006,Lausanne,Pass Electroclette 2024 - prix fêtes
1967,Lausanne,Pass Electroclette 2024 - prix fêtes
1967,Lausanne,Pass Electroclette 2024 - prix fêtes
2036,Geneva,Pass Electroclette 2024 - prix fêtes
2036,Geneva,Pass Electroclette 2024 - prix fêtes
1920,Lausanne,Pass Electroclette 2024 - prix fêtes
1804,Lausanne,Pass Electroclette 2024 - prix fêtes
1804,Lausanne,Pass Electroclette 2024 - prix fêtes
1936,Lausanne,Pass Electroclette 2024 - prix fêtes
2000,Neuchâtel,Pass Electroclette 2024 - prix fêtes
1800,Lausanne,Pass Electroclette 2024 - prix fêtes
1981,Lausanne,Pass Electroclette 2024 - prix fêtes
1005,Lausanne,Pass Electroclette 2024 - prix fêtes
1920,Lausanne,Pass Electroclette 2024 - prix fêtes
1208,Geneva,Pass Electroclette 2024 - prix fêtes
1208,Geneva,Pass Electroclette 2024 - prix fêtes
1213,Lausanne,Pass Electroclette 2024 - prix fêtes
1213,Lausanne,Pass Electroclette 2024 - prix fêtes
1030,Lausanne,Pass Electroclette 2024 - prix fêtes
1814,Lausanne,Pass Electroclette 2024 - prix fêtes
1006,Lausanne,Pass Electroclette 2024 - prix fêtes
1006,Lausanne,Pass Electroclette 2024 - prix fêtes
74100,St. Gallen,Pass Electroclette 2024 - prix fêtes
1965,Lausanne,Pass Electroclette 2024 - prix fêtes
1965,Lausanne,Pass Electroclette 2024 - prix fêtes
1800,Lausanne,Pass Electroclette 2024 - prix fêtes
1800,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1005,Lausanne,Pass Electroclette 2024 - prix fêtes
1027,Lausanne,Pass Electroclette 2024 - prix fêtes
1865,Lausanne,Pass Electroclette 2024 - prix fêtes
1963,Lausanne,Pass Electroclette 2024 - prix fêtes
1963,Lausanne,Pass Electroclette 2024 - prix fêtes
1967,Lausanne,Pass Electroclette 2024 - prix fêtes
2092,Geneva,Pass Electroclette 2024 - prix fêtes
1018,Lausanne,Pass Electroclette 2024 - prix fêtes
1018,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1004,Lausanne,Pass Electroclette 2024 - prix fêtes
1205,Geneva,Pass Electroclette 2024 - prix fêtes
1205,Geneva,Pass Electroclette 2024 - prix fêtes
6005,Zurich,Pass Electroclette 2024 - prix fêtes
6005,Zurich,Pass Electroclette 2024 - prix fêtes
1933,Lausanne,Pass Electroclette 2024 - prix fêtes
1227,Lausanne,Pass Electroclette 2024 - prix fêtes
1205,Geneva,Pass Electroclette 2024 - prix fêtes
1936,Lausanne,Pass Electroclette 2024 - prix fêtes
1804,Lausanne,Pass Electroclette 2024 - prix fêtes
1804,Lausanne,Pass Electroclette 2024 - prix fêtes
1804,Lausanne,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
1196,Lausanne,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
1007,Lausanne,Pass Electroclette 2024 - prix fêtes
2054,Geneva,Pass Electroclette 
2054,Geneva,Pass Electroclette 
2074,Geneva,Pass Electroclette 
2074,Geneva,Pass Electroclette 
2300,Geneva,Pass Electroclette 
2300,Geneva,Pass Electroclette 
2300,Geneva,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1860,Lausanne,Pass Electroclette 
1860,Lausanne,Pass Electroclette 
8048,Zurich,Pass Electroclette 
1000,Lausanne,Pass Electroclette 
1209,Geneva,Pass Electroclette 
3027,Bern,Pass Electroclette 
1052,Lausanne,Pass Electroclette 
1052,Lausanne,Pass Electroclette 
1052,Lausanne,Pass Electroclette 
1023,Lausanne,Pass Electroclette 
1965,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1800,Lausanne,Pass Electroclette 
1800,Lausanne,Pass Electroclette 
1009,Pully,Pass Electroclette 
1206,Geneva,Pass Electroclette 
1210,Geneva,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1950,Sion,Pass Electroclette 
1950,Sion,Pass Electroclette 
1950,Sion,Pass Electroclette 
1920,Lausanne,Pass Electroclette 
2000,Neuchâtel,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1926,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1012,Lausanne,Pass Electroclette 
1920,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
8047,Zurich,Pass Electroclette 
1628,Lausanne,Pass Electroclette 
1628,Lausanne,Pass Electroclette 
1204,Geneva,Pass Electroclette 
1204,Geneva,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
2300,Geneva,Pass Electroclette 
1020,Lausanne,Pass Electroclette 
1174,Lausanne,Pass Electroclette 
1817,Lausanne,Pass Electroclette 
1817,Lausanne,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1092,Lausanne,Pass Electroclette 
1092,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1018,Lausanne,Pass Electroclette 
1586,Lausanne,Pass Electroclette 
1586,Lausanne,Pass Electroclette 
1260,Lausanne,Pass Electroclette 
1053,Lausanne,Pass Electroclette 
3978,Bern,Pass Electroclette 
1957,Lausanne,Pass Electroclette 
1009,Pully,Pass Electroclette 
1009,Pully,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1009,Pully,Pass Electroclette 
1950,Sion,Pass Electroclette 
1256,Lausanne,Pass Electroclette 
1234,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1969,Lausanne,Pass Electroclette 
1969,Lausanne,Pass Electroclette 
1630,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1950,Sion,Pass Electroclette 
1206,Geneva,Pass Electroclette 
1206,Geneva,Pass Electroclette 
1950,Sion,Pass Electroclette 
1994,Lausanne,Pass Electroclette 
1967,Lausanne,Pass Electroclette 
1870,Lausanne,Pass Electroclette 
1218,Lausanne,Pass Electroclette 
1218,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1009,Pully,Pass Electroclette 
1009,Pully,Pass Electroclette 
2000,Neuchâtel,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1815,Lausanne,Pass Electroclette 
1800,Lausanne,Pass Electroclette 
1814,Lausanne,Pass Electroclette 
1814,Lausanne,Pass Electroclette 
1204,Geneva,Pass Electroclette 
8702,Zurich,Pass Electroclette 
1950,Sion,Pass Electroclette 
1012,Lausanne,Pass Electroclette 
8047,Zurich,Pass Electroclette 
1092,Lausanne,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1224,Lausanne,Pass Electroclette 
1286,Lausanne,Pass Electroclette 
1286,Lausanne,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1227,Lausanne,Pass Electroclette 
8002,Zurich,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1205,Geneva,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1225,Lausanne,Pass Electroclette 
1225,Lausanne,Pass Electroclette 
SE173BZ,Stockholm,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1091,Lausanne,Pass Electroclette 
1245,Lausanne,Pass Electroclette 
3014,Bern,Pass Electroclette 
3176,Bern,Pass Electroclette 
1700,Lausanne,Pass Electroclette 
5200,Localité générale,Pass Electroclette 
5200,Localité générale,Pass Electroclette 
1293,Lausanne,Pass Electroclette 
8057,Zurich,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
2024,Geneva,Pass Electroclette 
1203,Geneva,Pass Electroclette 
3973,Bern,Pass Electroclette 
3973,Bern,Pass Electroclette 
1220,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1090,Lausanne,Pass Electroclette 
1009,Pully,Pass Electroclette 
3961,Bern,Pass Electroclette 
13005,Lausanne,Pass Electroclette 
13005,Lausanne,Pass Electroclette 
1926,Lausanne,Pass Electroclette 
8762,Zurich,Pass Electroclette 
1208,Geneva,Pass Electroclette 
2300,Geneva,Pass Electroclette 
1205,Geneva,Pass Electroclette 
1205,Geneva,Pass Electroclette 
3960,Bern,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1204,Geneva,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
10247,Lausanne,Pass Electroclette 
10115,Lausanne,Pass Electroclette 
10247,Lausanne,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1214,Lausanne,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
6003,Zurich,Pass Electroclette 
1180,Lausanne,Pass Electroclette 
1205,Geneva,Pass Electroclette 
1996,Lausanne,Pass Electroclette 
1997,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1116,Lausanne,Pass Electroclette 
1116,Lausanne,Pass Electroclette 
1116,Lausanne,Pass Electroclette 
1116,Lausanne,Pass Electroclette 
1227,Lausanne,Pass Electroclette 
1227,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1009,Pully,Pass Electroclette 
1214,Lausanne,Pass Electroclette 
1214,Lausanne,Pass Electroclette 
1700,Lausanne,Pass Electroclette 
8048,Zurich,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1965,Lausanne,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1227,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
3960,Bern,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1997,Lausanne,Pass Electroclette 
1997,Lausanne,Pass Electroclette 
42120,Lucerne,Pass Electroclette 
42120,Lucerne,Pass Electroclette 
1902,Lausanne,Pass Electroclette 
1227,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1973,Lausanne,Pass Electroclette 
1973,Lausanne,Pass Electroclette 
8400,Zurich,Pass Electroclette 
8400,Zurich,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1800,Lausanne,Pass Electroclette 
8616,Zurich,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1088,Lausanne,Pass Electroclette 
2000,Neuchâtel,Pass Electroclette 
1023,Lausanne,Pass Electroclette 
1025,Lausanne,Pass Electroclette 
1024,Lausanne,Pass Electroclette 
1020,Lausanne,Pass Electroclette 
1 003,Localité internationale,Pass Electroclette 
1260,Lausanne,Pass Electroclette 
2000,Neuchâtel,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
2502,Geneva,Pass Electroclette 
69004,Zurich,Pass Electroclette 
8008,Zurich,Pass Electroclette 
1196,Lausanne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
1008,Lausanne,Pass Electroclette 
1941,Lausanne,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1208,Geneva,Pass Electroclette 
1208,Geneva,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
69008,Zurich,Pass Electroclette 
69008,Zurich,Pass Electroclette 
1800,Lausanne,Pass Electroclette 
1190,Lausanne,Pass Electroclette 
22600,Geneva,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
1470,Lausanne,Pass Electroclette 
1470,Lausanne,Pass Electroclette 
94220,Valais,Pass Electroclette 
94220,Valais,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
3960,Bern,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
3960,Bern,Pass Electroclette 
1807,Lausanne,Pass Electroclette 
49100,Lucerne,Pass Electroclette 
1093,Lausanne,Pass Electroclette 
1224,Lausanne,Pass Electroclette 
1222,Lausanne,Pass Electroclette 
67459,Zurich,Pass Electroclette 
67459,Zurich,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
74100,St. Gallen,Pass Electroclette 
1214,Lausanne,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
14 Chemin de la Dist,Localité internationale,Pass Electroclette 
1226,Lausanne,Pass Electroclette 
1226,Lausanne,Pass Electroclette 
97354,Valais,Pass Electroclette 
69000,Zurich,Pass Electroclette 
1012,Lausanne,Pass Electroclette 
1012,Lausanne,Pass Electroclette 
3971,Bern,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1971,Lausanne,Pass Electroclette 
3960,Bern,Pass Electroclette 
1208,Geneva,Pass Electroclette 
1208,Geneva,Pass Electroclette 
2503,Geneva,Pass Electroclette 
1006,Lausanne,Pass Electroclette 
1073,Lausanne,Pass Electroclette 
8008,Zurich,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
75000,St. Gallen,Pass Electroclette 
54000,Localité générale,Pass Electroclette 
1134,Lausanne,Pass Electroclette 
2503,Geneva,Pass Electroclette 
1010,Lausanne,Pass Electroclette 
8700,Zurich,Pass Electroclette 
75017,St. Gallen,Pass Electroclette 
1920,Lausanne,Pass Electroclette 
1224,Lausanne,Pass Electroclette 
1224,Lausanne,Pass Electroclette 
1436,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1170,Lausanne,Pass Electroclette 
1170,Lausanne,Pass Electroclette 
1170,Lausanne,Pass Electroclette 
1170,Lausanne,Pass Electroclette 
1096,Lausanne,Pass Electroclette 
1096,Lausanne,Pass Electroclette 
1800,Lausanne,Pass Electroclette 
1700,Lausanne,Pass Electroclette 
1295,Lausanne,Pass Electroclette 
1692,Lausanne,Pass Electroclette 
1468,Lausanne,Pass Electroclette 
3027,Bern,Pass Electroclette 
1286,Lausanne,Pass Electroclette 
1286,Lausanne,Pass Electroclette 
1000,Lausanne,Pass Electroclette 
1700,Lausanne,Pass Electroclette 
1873,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1201,Lausanne,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1350,Lausanne,Pass Electroclette 
1350,Lausanne,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1012,Lausanne,Pass Electroclette 
1934,Lausanne,Pass Electroclette 
1630,Lausanne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
81543,Zurich,Pass Electroclette 
81543,Zurich,Pass Electroclette 
81375,Zurich,Pass Electroclette 
81375,Zurich,Pass Electroclette 
1113,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
1700,Lausanne,Pass Electroclette 
31000,Bern,Pass Electroclette 
1208,Geneva,Pass Electroclette 
1208,Geneva,Pass Electroclette 
1350,Lausanne,Pass Electroclette 
1350,Lausanne,Pass Electroclette 
1210,Geneva,Pass Electroclette 
1205,Geneva,Pass Electroclette 
1224,Lausanne,Pass Electroclette 
1291,Lausanne,Pass Electroclette 
76571,St. Gallen,Pass Electroclette 
76571,St. Gallen,Pass Electroclette 
4051,Lucerne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
1223,Lausanne,Pass Electroclette 
1920,Lausanne,Pass Electroclette 
1920,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1950,Sion,Pass Electroclette 
1095,Lausanne,Pass Electroclette 
1095,Lausanne,Pass Electroclette 
5895,Localité générale,Pass Electroclette 
5895,Localité générale,Pass Electroclette 
1094,Lausanne,Pass Electroclette 
1224,Lausanne,Pass Electroclette 
1004,Lausanne,Pass Electroclette 
1245,Lausanne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 
1213,Lausanne,Pass Electroclette 
1224,Lausanne,Pass Electroclette 
W12 8DZ,London,Pass Electroclette 
1007,Lausanne,Pass Electroclette 
1005,Lausanne,Pass Electroclette 
2063,Geneva,Pass Electroclette 
2063,Geneva,Pass Electroclette 
SW11 2JP,London,Pass Electroclette 
SW11 2JP,London,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1003,Lausanne,Pass Electroclette 
1207,Geneva,Pass Electroclette 
1212,Grand-Lancy,Pass Electroclette 
1088,Lausanne,Pass Electroclette 
80304,Zurich,Pass Electroclette 
90049,Valais,Pass Electroclette 
92110,Valais,Pass Electroclette 
1920,Lausanne,Pass Electroclette 
1936,Lausanne,Pass Electroclette 